D,alpha,result,optimized_func,nb_stations
10.0,0.1,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.0,0.0
10.0,0.12631578947368421,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.0,0.0
10.0,0.15263157894736842,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.0,0.0
10.0,0.17894736842105263,[1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1.],215784.65753424657,16.0
10.0,0.20526315789473684,[1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1.],215784.65753424657,16.0
10.0,0.23157894736842105,[1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1.],215784.65753424657,16.0
10.0,0.2578947368421053,[1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1.],215784.65753424657,16.0
10.0,0.28421052631578947,[1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1.],215784.65753424657,16.0
10.0,0.31052631578947365,[1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1.],215784.65753424657,16.0
10.0,0.3368421052631579,[1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1.],215784.65753424657,16.0
10.0,0.3631578947368421,[1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1.],215784.65753424657,16.0
10.0,0.3894736842105263,[1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1.],215784.65753424657,16.0
10.0,0.4157894736842105,[1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 1. 1. 1. 0. 1. 1.],213206.57534246575,14.0
10.0,0.44210526315789467,[1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 1. 1. 1. 0. 1. 1.],213206.57534246575,14.0
10.0,0.46842105263157896,[1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 1. 1. 1. 0. 1. 1.],213206.57534246575,14.0
10.0,0.49473684210526314,[1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 1. 1. 1. 0. 1. 1.],213206.57534246575,14.0
10.0,0.5210526315789473,[1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 1. 1. 1. 0. 1. 1.],213206.57534246575,14.0
10.0,0.5473684210526315,[0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0.],126776.16438356164,4.0
10.0,0.5736842105263158,[0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0.],126776.16438356164,4.0
10.0,0.6,[0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0.],126776.16438356164,4.0
15.555555555555555,0.1,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.0,0.0
15.555555555555555,0.12631578947368421,[1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1.],215784.65753424657,16.0
15.555555555555555,0.15263157894736842,[1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1.],215784.65753424657,16.0
15.555555555555555,0.17894736842105263,[1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1.],215784.65753424657,16.0
15.555555555555555,0.20526315789473684,[1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1.],215784.65753424657,16.0
15.555555555555555,0.23157894736842105,[1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1.],215784.65753424657,16.0
15.555555555555555,0.2578947368421053,[1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1.],215784.65753424657,16.0
15.555555555555555,0.28421052631578947,[1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 1. 1. 1. 0. 1. 1.],213206.57534246575,14.0
15.555555555555555,0.31052631578947365,[1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 1. 1. 1. 0. 1. 1.],213206.57534246575,14.0
15.555555555555555,0.3368421052631579,[0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0.],126776.16438356164,4.0
15.555555555555555,0.3631578947368421,[0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0.],126776.16438356164,4.0
15.555555555555555,0.3894736842105263,[0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0.],126776.16438356164,4.0
